"日付け","終値","始値","高値","安値","前日比率"
"2017年09月03日","523714.1875","499204.7813","585203.1250","499204.7813","4.91"
"2017年09月02日","499204.7813","542277.3125","585203.1250","498504.5000","-7.94"
"2017年09月01日","542277.3125","522488.7500","551743.0625","501000.0000","3.79"
"2017年08月31日","522488.7500","505625.5000","528648.1250","478000.0000","3.34"
"2017年08月30日","505625.5000","503657.9063","522031.1250","476717.7813","0.39"
"2017年08月29日","503657.9063","477876.3438","515583.1875","456538.0625","5.40"
"2017年08月28日","477876.3438","469660.7500","484350.5625","457779.5313","1.75"
"2017年08月27日","469660.7500","514764.3750","514764.3750","467485.6250","-8.76"
"2017年08月26日","514764.3750","478010.4688","519142.4688","464484.6875","7.69"
"2017年08月25日","478010.4688","468365.6250","518438.4063","452863.9063","2.06"
"2017年08月24日","468365.6250","453552.6875","471957.7188","444566.8438","3.27"
"2017年08月23日","453552.6875","446018.8438","488850.0625","414225.8125","1.69"
"2017年08月22日","446018.8438","446634.1563","464207.1875","412565.6250","1.34"
"2017年08月21日","440101.3125","456978.3438","459731.6875","439993.4063","-3.69"
"2017年08月20日","456978.3438","447090.7188","458697.0938","431400.5938","2.21"
"2017年08月19日","447090.7188","444089.9688","478081.4375","430218.5938","-5.40"
"2017年08月18日","472613.1250","470166.4063","528675.8125","442379.2188","0.52"
"2017年08月17日","470166.4063","474493.7500","531332.3750","436765.8438","-0.91"
"2017年08月16日","474493.7500","457007.9688","492745.0000","424394.1875","3.83"
"2017年08月15日","457007.9688","464508.0625","492631.7500","424136.1875","-1.61"
"2017年08月14日","464508.0625","424423.7500","493491.9063","418000.0000","9.44"
"2017年08月13日","424423.7500","409441.5000","460768.9688","404135.8750","3.66"
"2017年08月12日","409441.5000","407735.8125","430205.0625","372096.6250","0.42"
"2017年08月11日","407735.8125","373256.2500","407735.8125","366726.6875","9.24"
"2017年08月10日","373256.2500","378629.8125","403649.9063","360401.9375","-1.42"
"2017年08月09日","378629.8125","379812.8125","410702.5938","359964.0938","-0.31"
"2017年08月08日","379812.8125","406789.6875","410702.5938","326755.6250","-6.63"
"2017年08月07日","406789.6875","330194.8438","406789.6875","323170.9375","23.20"
"2017年08月06日","330194.8438","329884.3438","332265.6875","316046.2813","0.09"
"2017年08月05日","329884.3438","310886.1250","331889.2813","292055.3125","6.11"
"2017年08月04日","310886.1250","304985.1875","333656.5000","290739.7500","1.93"
"2017年08月03日","304985.1875","306007.3125","330636.4375","296203.0313","-0.33"
"2017年08月02日","306007.3125","314656.2188","332052.6875","295992.7188","-2.75"
"2017年08月01日","314656.2188","315082.7813","315174.6563","314141.0313","-0.14"
"2017年07月31日","315082.7813","298744.0625","316190.5625","278208.0938","5.47"
"2017年07月30日","298744.0625","294358.8438","306885.4375","270676.8438","1.49"
"2017年07月29日","294358.8438","306935.0313","310883.7813","270676.8438","-4.10"
"2017年07月28日","306935.0313","293883.2500","308900.0000","277259.8438","4.44"
"2017年07月27日","293883.2500","274417.0625","294012.9688","272827.1875","7.09"
"2017年07月26日","274417.0625","284481.3750","309739.1875","269444.5000","-3.54"
"2017年07月25日","284481.3750","303278.9375","309433.6250","271189.1875","-6.20"
"2017年07月24日","303278.9375","296284.4063","304381.9375","280942.8438","2.36"
"2017年07月23日","296284.4063","293762.0625","303973.7500","281018.7813","0.86"
"2017年07月22日","293762.0625","289943.7813","304004.2500","276630.8438","1.32"
"2017年07月21日","289943.7813","301981.0313","314438.3750","238751.4063","-3.99"
"2017年07月20日","301981.0313","256131.8438","314501.4688","233805.9688","17.90"
"2017年07月19日","256131.8438","242358.0000","266082.0625","234103.0000","-2.66"
"2017年07月18日","263119.6875","245462.8750","264321.1250","219352.8594","7.19"
"2017年07月17日","245462.8750","209170.4375","246641.2969","209119.9844","17.35"
"2017年07月16日","209170.4375","230952.5469","259468.6563","207666.3594","-9.43"
"2017年07月15日","230952.5469","255488.4531","281374.9375","230952.5469","-9.60"
"2017年07月14日","255488.4531","281323.7813","284524.1875","253851.6875","-9.18"
"2017年07月13日","281323.7813","281461.7500","284458.0938","263499.2813","-0.05"
"2017年07月12日","281466.3125","269522.6563","296255.3125","265855.5625","4.43"
"2017年07月11日","269522.6563","273788.7500","301734.5625","267394.2500","-1.56"
"2017年07月10日","273788.7500","291868.1875","302599.1250","273734.8750","-6.19"
"2017年07月09日","291868.1875","295715.4063","301809.3438","291356.3125","-1.30"
"2017年07月08日","295715.4063","293043.8750","304722.4688","291273.4375","0.91"
"2017年07月07日","293043.8750","296417.6563","308676.8438","291436.0625","-1.14"
"2017年07月06日","296417.6563","305679.2500","311730.4688","292533.7500","0.81"
"2017年07月05日","294032.3750","302302.7188","314682.9063","292407.6875","-0.44"
"2017年07月04日","295329.7813","296100.3125","313695.7813","283748.6875","-0.26"
"2017年07月03日","296100.3125","284629.9688","306309.2500","274246.5938","4.03"
"2017年07月02日","284629.9688","284340.4063","292423.1875","262426.3125","0.10"
"2017年07月01日","284340.4063","280085.2188","300000.0938","262426.3125","1.28"
"2017年06月30日","280741.1563","286974.0938","295530.2500","272358.4688","-2.17"
"2017年06月29日","286974.0938","291531.6563","297656.6875","278583.3125","-1.56"
"2017年06月28日","291531.6563","286868.7500","315921.5000","266902.6250","1.63"
"2017年06月27日","286868.7500","281861.8750","315130.9063","266703.1875","1.78"
"2017年06月26日","281861.8750","286639.1875","329408.0000","278498.8125","-1.67"
"2017年06月25日","286639.1875","292514.4688","318044.9375","285184.6563","-2.01"
"2017年06月24日","292514.4688","311033.1250","314969.8750","292514.4688","-5.95"
"2017年06月23日","311033.1250","303229.2188","338279.7500","301077.8438","1.37"
"2017年06月22日","306814.8750","295046.5000","314186.8750","294182.8125","3.99"
"2017年06月21日","295046.5000","303346.2188","314442.1250","295046.5000","-2.74"
"2017年06月20日","303346.2188","299207.8750","312963.5625","285687.7500","1.38"
"2017年06月19日","299207.8750","274510.7188","300747.1563","274510.7188","9.00"
"2017年06月18日","274510.7188","291365.1875","321301.7813","274155.9375","-5.78"
"2017年06月17日","291365.1875","279491.6875","321301.7813","260555.3281","4.25"
"2017年06月16日","279491.6875","273002.1875","310151.4375","242276.0313","-1.72"
"2017年06月15日","284375.0938","308614.2500","336948.2188","241493.1719","-7.85"
"2017年06月14日","308614.2500","320694.0313","335307.3438","284248.5938","-3.77"
"2017年06月13日","320694.0313","309887.9063","361345.2188","297214.1563","3.49"
"2017年06月12日","309887.9063","332418.5313","361345.2188","296127.5625","-6.78"
"2017年06月11日","332418.5313","324000.4375","339535.0313","315293.5938","2.60"
"2017年06月10日","324000.4375","321899.5938","350176.9375","315331.1875","0.65"
"2017年06月09日","321899.5938","317274.8125","348936.4375","304493.5938","1.46"
"2017年06月08日","317274.8125","320346.8125","350599.0313","298080.3750","-0.96"
"2017年06月07日","320346.6875","320283.1875","350599.0313","298729.1875","0.02"
"2017年06月06日","320283.1875","304545.5313","337159.1875","288041.5313","5.17"
