"日付け","終値","始値","高値","安値","前日比率"
"2017年09月03日","523714.1875","499204.7813","585203.1250","499204.7813","4.91"
"2017年09月02日","499204.7813","542277.3125","585203.1250","498504.5000","-7.94"
"2017年09月01日","542277.3125","522488.7500","551743.0625","501000.0000","3.79"
"2017年08月31日","522488.7500","505625.5000","528648.1250","478000.0000","3.34"
"2017年08月30日","505625.5000","503657.9063","522031.1250","476717.7813","0.39"
"2017年08月29日","503657.9063","477876.3438","515583.1875","456538.0625","5.40"
"2017年08月28日","477876.3438","469660.7500","484350.5625","457779.5313","1.75"
"2017年08月27日","469660.7500","514764.3750","514764.3750","467485.6250","-8.76"
"2017年08月26日","514764.3750","478010.4688","519142.4688","464484.6875","7.69"
"2017年08月25日","478010.4688","468365.6250","518438.4063","452863.9063","2.06"
"2017年08月24日","468365.6250","453552.6875","471957.7188","444566.8438","3.27"
"2017年08月23日","453552.6875","446018.8438","488850.0625","414225.8125","1.69"
"2017年08月22日","446018.8438","446634.1563","464207.1875","412565.6250","1.34"
"2017年08月21日","440101.3125","456978.3438","459731.6875","439993.4063","-3.69"
"2017年08月20日","456978.3438","447090.7188","458697.0938","431400.5938","2.21"
"2017年08月19日","447090.7188","444089.9688","478081.4375","430218.5938","-5.40"
"2017年08月18日","472613.1250","470166.4063","528675.8125","442379.2188","0.52"
"2017年08月17日","470166.4063","474493.7500","531332.3750","436765.8438","-0.91"
"2017年08月16日","474493.7500","457007.9688","492745.0000","424394.1875","3.83"
"2017年08月15日","457007.9688","464508.0625","492631.7500","424136.1875","-1.61"
"2017年08月14日","464508.0625","424423.7500","493491.9063","418000.0000","9.44"
"2017年08月13日","424423.7500","409441.5000","460768.9688","404135.8750","3.66"
"2017年08月12日","409441.5000","407735.8125","430205.0625","372096.6250","0.42"
"2017年08月11日","407735.8125","373256.2500","407735.8125","366726.6875","9.24"
"2017年08月10日","373256.2500","378629.8125","403649.9063","360401.9375","-1.42"
"2017年08月09日","378629.8125","379812.8125","410702.5938","359964.0938","-0.31"
"2017年08月08日","379812.8125","406789.6875","410702.5938","326755.6250","-6.63"
"2017年08月07日","406789.6875","330194.8438","406789.6875","323170.9375","23.20"
"2017年08月06日","330194.8438","329884.3438","332265.6875","316046.2813","0.09"
"2017年08月05日","329884.3438","310886.1250","331889.2813","292055.3125","6.11"
"2017年08月04日","310886.1250","304985.1875","333656.5000","290739.7500","1.93"
"2017年08月03日","304985.1875","306007.3125","330636.4375","296203.0313","-0.33"
"2017年08月02日","306007.3125","314656.2188","332052.6875","295992.7188","-2.75"
"2017年08月01日","314656.2188","315082.7813","315174.6563","314141.0313","-0.14"
"2017年07月31日","315082.7813","298744.0625","316190.5625","278208.0938","5.47"
"2017年07月30日","298744.0625","294358.8438","306885.4375","270676.8438","1.49"
"2017年07月29日","294358.8438","306935.0313","310883.7813","270676.8438","-4.10"
"2017年07月28日","306935.0313","293883.2500","308900.0000","277259.8438","4.44"
"2017年07月27日","293883.2500","274417.0625","294012.9688","272827.1875","7.09"
"2017年07月26日","274417.0625","284481.3750","309739.1875","269444.5000","-3.54"
"2017年07月25日","284481.3750","303278.9375","309433.6250","271189.1875","-6.20"
"2017年07月24日","303278.9375","296284.4063","304381.9375","280942.8438","2.36"
"2017年07月23日","296284.4063","293762.0625","303973.7500","281018.7813","0.86"
"2017年07月22日","293762.0625","289943.7813","304004.2500","276630.8438","1.32"
"2017年07月21日","289943.7813","301981.0313","314438.3750","238751.4063","-3.99"
"2017年07月20日","301981.0313","256131.8438","314501.4688","233805.9688","17.90"
"2017年07月19日","256131.8438","242358.0000","266082.0625","234103.0000","-2.66"
"2017年07月18日","263119.6875","245462.8750","264321.1250","219352.8594","7.19"
"2017年07月17日","245462.8750","209170.4375","246641.2969","209119.9844","17.35"
"2017年07月16日","209170.4375","230952.5469","259468.6563","207666.3594","-9.43"
"2017年07月15日","230952.5469","255488.4531","281374.9375","230952.5469","-9.60"
